DT + 1698694251455;LT55.5491541;LG37.6057467;PB985.2886;SP16.799337AZ: -10.467716
DT + 1698694252452;LT55.5490042;LG37.6057555;PB985.3281;SP16.89484AZ: -0.06413129
DT + 1698694253466;LT55.5488515;LG37.6057626;PB985.3052;SP17.14504AZ: -2.7285573
DT + 1698694254468;LT55.548697;LG37.6057721;PB985.3032;SP17.367796AZ: -9.788129
DT + 1698694255442;LT55.5485404;LG37.6057839;PB985.2578;SP17.436522AZ: -40.65104
DT + 1698694256476;LT55.548383;LG37.6057968;PB985.29736;SP17.56058AZ: -51.537228
DT + 1698694257443;LT55.5482243;LG37.6058121;PB985.334;SP17.681664AZ: -13.747302
DT + 1698694258441;LT55.5480661;LG37.6058321;PB985.3989;SP17.451244AZ: -16.889713
DT + 1698694259454;LT55.5479075;LG37.6058524;PB985.3262;SP17.82239AZ: -46.71722
DT + 1698694260448;LT55.5477466;LG37.6058737;PB985.1118;SP17.923235AZ: -4.7326765
DT + 1698694261455;LT55.5475851;LG37.6058967;PB984.9243;SP18.115425AZ: -5.8927507
DT + 1698694262459;LT55.5474233;LG37.6059201;PB985.0342;SP17.930689AZ: -41.614433
DT + 1698694263456;LT55.547264;LG37.6059454;PB985.0366;SP17.937822AZ: -13.265141
DT + 1698694264449;LT55.5471046;LG37.6059746;PB985.01074;SP17.991789AZ: 6.7748246
DT + 1698694265454;LT55.5469441;LG37.6060055;PB985.0322;SP17.946335AZ: 27.179111
DT + 1698694266440;LT55.546786;LG37.6060373;PB985.1328;SP17.986809AZ: 24.703709
DT + 1698694267450;LT55.5466263;LG37.6060732;PB985.26074;SP18.10224AZ: -12.361308
DT + 1698694268450;LT55.5464673;LG37.6061072;PB985.27295;SP17.913519AZ: -31.38307
DT + 1698694269456;LT55.5463111;LG37.6061411;PB985.2344;SP17.486797AZ: -13.037396
DT + 1698694270435;LT55.5461589;LG37.6061766;PB985.28906;SP16.900885AZ: -32.848934
DT + 1698694271445;LT55.5460102;LG37.6062139;PB985.2632;SP16.717678AZ: -16.11578
DT + 1698694272453;LT55.5458643;LG37.6062508;PB985.2549;SP16.413498AZ: -10.7478485
DT + 1698694273459;LT55.5457208;LG37.6062888;PB985.24365;SP16.125944AZ: -9.73707
DT + 1698694274469;LT55.5455791;LG37.6063279;PB985.2554;SP16.10889AZ: -13.357052
DT + 1698694275466;LT55.5454372;LG37.6063717;PB985.2505;SP16.078474AZ: -11.105156
DT + 1698694276456;LT55.5452956;LG37.6064171;PB985.2637;SP16.124155AZ: -33.66368
DT + 1698694277467;LT55.5451519;LG37.606466;PB985.2905;SP16.444525AZ: -2.4483802
DT + 1698694278435;LT55.5450058;LG37.6065177;PB985.2925;SP16.747608AZ: -15.356282
DT + 1698694279455;LT55.5448559;LG37.6065708;PB985.3364;SP16.525606AZ: -4.023192
DT + 1698694280466;LT55.5447094;LG37.6066207;PB985.3589;SP16.209934AZ: -51.357906
DT + 1698694281458;LT55.5445677;LG37.6066714;PB985.417;SP15.977198AZ: -4.548239
DT + 1698694282439;LT55.5444286;LG37.6067231;PB985.3887;SP15.799817AZ: -13.390249
DT + 1698694283455;LT55.5442898;LG37.606775;PB985.44824;SP15.68403AZ: -16.673714
DT + 1698694284443;LT55.5441528;LG37.6068265;PB985.479;SP15.505466AZ: -15.893896
DT + 1698694285462;LT55.5440158;LG37.6068792;PB985.58496;SP15.558348AZ: -29.387836
DT + 1698694286457;LT55.5438797;LG37.6069331;PB985.5552;SP15.508217AZ: -6.0079784
DT + 1698694287467;LT55.5437437;LG37.6069877;PB985.3218;SP15.497964AZ: -10.043774
DT + 1698694288477;LT55.5436098;LG37.6070412;PB985.40186;SP15.32945AZ: -27.311462
DT + 1698694289483;LT55.5434777;LG37.6070987;PB985.6968;SP15.49792AZ: -35.265923
DT + 1698694290444;LT55.5433449;LG37.6071569;PB985.6797;SP15.620952AZ: -8.523891
DT + 1698694291461;LT55.5432097;LG37.6072161;PB985.7251;SP15.553952AZ: -31.62444
DT + 1698694292456;LT55.5430747;LG37.6072739;PB985.6245;SP15.581195AZ: -46.56264
DT + 1698694293457;LT55.542939;LG37.6073317;PB985.4839;SP15.701206AZ: -59.43271
DT + 1698694294449;LT55.5428025;LG37.6073903;PB985.56006;SP15.709489AZ: 0.25691056
DT + 1698694295473;LT55.542665;LG37.6074514;PB985.5449;SP15.88955AZ: 57.413715
DT + 1698694296456;LT55.5425273;LG37.6075144;PB985.8091;SP15.881907AZ: -23.743296
DT + 1698694297457;LT55.5423892;LG37.6075754;PB985.85547;SP15.83074AZ: 1.2134916
DT + 1698694298458;LT55.5422519;LG37.6076378;PB985.82666;SP15.678021AZ: -32.24264
DT + 1698694299456;LT55.5421159;LG37.6076993;PB985.8584;SP15.649826AZ: -2.038528
DT + 1698694300458;LT55.5419818;LG37.6077612;PB985.9033;SP15.518788AZ: 0.8599076
DT + 1698694301459;LT55.5418486;LG37.6078236;PB985.91846;SP15.498035AZ: -20.423735
DT + 1698694302450;LT55.5417137;LG37.6078863;PB985.97754;SP15.751659AZ: -29.188293
DT + 1698694303450;LT55.5415761;LG37.6079465;PB985.959;SP15.677114AZ: -2.183216
DT + 1698694304444;LT55.5414381;LG37.6080051;PB985.9624;SP15.630694AZ: -4.99494
DT + 1698694305453;LT55.5413024;LG37.608066;PB986.0078;SP15.804159AZ: -4.4660296
DT + 1698694306447;LT55.5411647;LG37.6081259;PB986.0576;SP15.74548AZ: -31.582056
DT + 1698694307456;LT55.5410283;LG37.608187;PB986.1245;SP15.691662AZ: -29.425758
DT + 1698694308466;LT55.5408923;LG37.6082482;PB986.14307;SP15.615296AZ: -21.967327
DT + 1698694309461;LT55.5407566;LG37.6083111;PB986.1323;SP15.726072AZ: -16.383436
DT + 1698694310464;LT55.5406193;LG37.6083728;PB986.0908;SP15.764113AZ: -20.96021
DT + 1698694311464;LT55.540481;LG37.6084348;PB986.1968;SP15.943121AZ: -20.795204
DT + 1698694312451;LT55.5403427;LG37.6084977;PB986.2588;SP15.933574AZ: -42.148487
DT + 1698694313450;LT55.540204;LG37.6085607;PB986.2368;SP15.988525AZ: 4.550506
DT + 1698694314453;LT55.5400654;LG37.6086229;PB986.2798;SP15.809845AZ: -0.7241495
DT + 1698694315452;LT55.5399282;LG37.6086832;PB986.3511;SP15.785297AZ: -12.012412
DT + 1698694316440;LT55.5397903;LG37.6087406;PB986.3916;SP15.89624AZ: -2.40059
DT + 1698694317455;LT55.539651;LG37.6087991;PB986.4888;SP15.924697AZ: -5.0345273
DT + 1698694318450;LT55.5395119;LG37.6088567;PB986.18115;SP15.9397335AZ: -35.33789
DT + 1698694319471;LT55.5393716;LG37.6089112;PB986.2241;SP15.977713AZ: -16.877058
DT + 1698694320452;LT55.5392311;LG37.6089651;PB986.291;SP15.975723AZ: -25.84176
DT + 1698694321469;LT55.5390907;LG37.6090195;PB986.3877;SP15.965777AZ: -8.705339
DT + 1698694322452;LT55.5389517;LG37.6090747;PB986.5117;SP15.746022AZ: -25.134377
DT + 1698694323465;LT55.5388136;LG37.6091272;PB986.51904;SP15.784582AZ: -1.1665232
DT + 1698694324452;LT55.5386761;LG37.6091777;PB986.51416;SP15.807863AZ: -11.19558
DT + 1698694325449;LT55.5385378;LG37.6092294;PB986.5405;SP15.772381AZ: -11.503703
DT + 1698694326453;LT55.5383996;LG37.6092811;PB986.56836;SP15.677098AZ: -7.6719
